"Samples","Number.of.outlier","Outlier.genes"
"TCGA.13.0807.01B.01R.0404.01",15,"PPFIBP1, FZD2, BIRC3, MAP9, RGS1, GSTT1, STXBP6, SLC12A8, ACP5, IGKC, PNOC, IFI44L, APOBEC3G, CXCL10, CHI3L1"
"TCGA.13.0883.01A.02R.0404.01",23,"PLEKHF1, ATHL1, SLC12A8, CA8, HIST1H2AE, AQP9, APOBEC3G, MICAL3, ST3GAL6, PPFIBP1, GSTT1, RGS1, CCL20, CXCL10, HLA-DQA1, RPL10L, STXBP6, CXCL9, CHI3L1, FZD3, CCND2, GPC4, PNOC"
"TCGA.13.0884.01B.01R.0453.01",30,"CCR5, SLC15A3, MYB, CXCL11, RGS1, PLEKHF1, APOL6, RPL10L, GZMA, PPFIBP1, TCF7, MICAL3, GSTT1, NCF2, APOL3, IL2RB, COL8A2, MMP9, AQP9, RSAD2, CCL5, FZD3, SPOCK2, SLC12A8, IFI44L, LAMP3, CXCL10, APOBEC3G, PNOC, CHI3L1"
"TCGA.13.0885.01A.02R.0404.01",42,"CD2, MNDA, ZFP36L2, SAMSN1, FZD3, APOL3, CCL23, GPC4, PPFIBP1, CCL20, RGS1, PLEKHF1, CXCL11, CCL13, CD22, PTPRG, SLC12A8, CD38, SLAMF8, GAL3ST4, TNFAIP6, CCR5, CCL4, GSTT1, NCF2, MYB, CCR7, EBI3, IGSF6, CCL18, RNASE6, SMPDL3B, STXBP6, CCL19, PNOC, C3AR1, APOBEC3G, IFI44L, CHI3L1, CXCL9, CXCL10, HLA-DQA1"
"TCGA.13.0886.01A.01R.0404.01",45,"SKAP1, PIK3IP1, FOSB, CD69, LEF1, DACH1, HLA-DQA1, BIRC3, APOL6, CYP27A1, CCL19, ADAMDEC1, MS4A6A, SAMSN1, C3AR1, CCR7, EBI3, ST3GAL6, GAL3ST4, TCF7, CDH12, CCL18, RNASE6, PLEKHF1, PPFIBP1, CXCL11, AQP9, MAP9, NCF2, C1orf54, STXBP6, LAMP3, ZNF165, CLEC7A, PTPRG, RSAD2, RGS1, SLC12A8, ACP5, FZD3, APOBEC3G, IGKC, IFI44L, CHI3L1, CXCL10"
"TCGA.13.0887.01A.01R.0404.01",37,"VILL, TRPM4, KLRF1, HLA-DOB, TNFAIP6, RPL10L, GPC4, NFE2, ST3GAL6, HTR2B, C1orf54, GPR19, MAP9, EGR2, BIRC3, CXCL11, ATHL1, GSTT1, ADAM28, APOBEC3G, PLEKHF1, ZNF165, SLC12A8, RGS1, SPAG4, P2RX5, DUSP2, STXBP6, PNOC, LAMP3, FOSB, RSAD2, IFI44L, FZD3, CXCL10, CCL20, CHI3L1"
"TCGA.13.0888.01A.01R.0404.01",52,"ZNF324, RYR1, GPR1, CD22, VILL, TREML2, MICAL3, TRAF4, ARHGAP22, ST3GAL6, CD4, GAL3ST4, HIST1H2AE, PDK1, SKAP1, DUSP2, LEF1, RCAN3, IFI44L, CYP27A1, PIK3IP1, EPN2, RPL10L, MAP4K1, BCL7A, ZNF165, PPFIBP1, SLC12A8, TCF7, APOBEC3G, KIRREL, PTPRG, GPC4, ADAMTS3, PBXIP1, C1orf54, SMPDL3B, GSTT1, SPAG4, COL8A2, PLA2G7, FZD3, MAP9, SPOCK2, PNOC, TRIB2, MAGEA11, LAMP3, CCND2, CHI3L1, DACH1, FZD2"
"TCGA.13.0889.01A.01R.0404.01",21,"BIRC3, EBI3, MAP9, CCR7, TRIB2, CD38, MS4A6A, CCL19, IGHD, GSTT1, FZD3, CXCL13, APOBEC3G, CHI3L1, IGHM, HTR2B, CXCL10, STXBP6, CXCL9, HLA-DQA1, IGKC"
"TCGA.13.0890.01A.01R.0404.01",37,"CCR7, PPFIBP1, DACH1, RYR1, C1orf54, SPAG4, CD38, IGHM, APOBEC3G, CCL19, NCF2, IGHD, C3AR1, PLEKHF1, FZD3, RNASE6, HIST1H2BG, SLC15A3, SPOCK2, ACP5, PNOC, PLA1A, HLA-DQA1, RGS1, CXCL9, FCGR2B, TRPM4, MMP9, RSAD2, IFI44L, HIST1H2AE, SLC12A8, CXCL10, QPCT, FZD2, CHI3L1, IGKC"
"TCGA.13.0891.01A.01R.0404.01",38,"CD38, MICAL3, ZNF135, CLEC7A, MMP9, ZNF324, C1orf54, MYB, APOBEC3G, PTGER2, SPOCK2, PPFIBP1, ST6GALNAC4, ZNF165, GPC4, PNOC, SPAG4, TRIB2, RSAD2, MAP9, PLEKHF1, BST1, CA8, BRAF, HIST1H2BG, ADAMTS3, IFI44L, LAMP3, COL8A2, MAGEA11, FZD3, STXBP6, REN, GSTT1, HPSE, HIST1H2AE, CXCL10, CHI3L1"
"TCGA.13.0893.01B.01R.0453.01",26,"MMP9, TCF7, KIRREL, C5AR1, COL8A2, APOL3, EBI3, CCR7, RSAD2, MS4A6A, APOBEC3G, CCL19, PLEKHF1, GSTT1, SLC12A8, LAMP3, RGS1, HPSE, CCL5, SPOCK2, AQP9, IFI44L, HLA-DQA1, CXCL10, PNOC, CHI3L1"
"TCGA.13.0894.01B.01R.0453.01",26,"PBXIP1, C3AR1, PLA2G7, GPR1, ACP5, FZD2, MS4A6A, C1orf54, TCF7, TNFAIP6, SPOCK2, MAP9, GAL3ST4, PTPRG, GSTT1, WNT7A, IFI44L, PPFIBP1, NCF2, HLA-DQA1, PLEKHF1, RGS1, PNOC, TRIB2, SLC12A8, CHI3L1"
"TCGA.13.0897.01A.01R.0404.01",55,"PPFIBP1, RPL10L, RGS1, LEF1, EAF2, SLAMF8, HIST1H2AE, SLC12A8, ALOX5, CXCL13, CCR7, FZD3, P2RY2, C11orf80, NCF2, APOL3, GAL3ST4, TREM2, CCL22, ZNF165, CXCL11, GPR19, HRH1, APOL6, SMPDL3B, SAMSN1, PTPRG, HIST1H2BG, RNASE6, WNT7A, AIM2, C3AR1, C1orf54, HPSE, CLIC2, FCGR2B, MS4A6A, SKAP1, RYR1, STXBP6, GPC4, PLEKHF1, SPOCK2, BANK1, QPCT, SLC15A3, APOBEC3G, TRIB2, LAMP3, RSAD2, CXCL10, CHI3L1, CXCL9, IFI44L, HLA-DQA1"
"TCGA.13.0899.01A.01R.0404.01",45,"HAL, WNT7A, PPFIBP1, C3AR1, TCF7, SLC12A8, ACP5, APOL6, CCL20, SPOCK2, SKAP1, HIST1H2BG, TNFAIP6, PBXIP1, VILL, TRAF4, WNT5B, PLEKHF1, ST3GAL6, SPAG4, NFE2, SMPDL3B, RGS1, CXCL13, MYB, FCGR2B, PTPRG, C1orf54, MAP9, HIST1H2AE, NCF2, MMP9, PNOC, CXCL10, APOBEC3G, IFI44L, IGKC, TRIB2, STXBP6, GPC4, GSTT1, FZD3, DACH1, FZD2, CHI3L1"
"TCGA.13.0900.01B.01R.0453.01",69,"TNFAIP6, CYP27A1, SPAG4, RRP9, CCL22, COL8A2, HCK, GPR1, REPS2, BCL2A1, C5AR1, CXCL13, KYNU, SLAMF1, MAP4K1, LAMP3, CYP27B1, RPL10L, SLAMF8, EGR2, ADAM28, BCL7A, BANK1, RNASE6, CLEC7A, APOL6, AIF1, CD40, IRF8, KIRREL, TCF7, CCL20, PPFIBP1, BRAF, CCL4, MAP9, HPSE, AIM2, GAL3ST4, ACP5, C3AR1, CD38, TRIB2, SAMSN1, C1orf54, ATHL1, EBI3, CCR7, APOBEC3G, MS4A6A, CCL19, SLC15A3, FZD2, PTPRG, SLC12A8, CHI3L1, HLA-DQA1, CXCL11, WNT7A, HIST1H2BG, CXCL9, FZD3, RGS1, RSAD2, HIST1H2AE, PNOC, IFI44L, CXCL10, STXBP6"
"TCGA.13.0901.01B.01R.0453.01",63,"CD4, TRAF4, SKAP1, CCR5, KLRF1, PNOC, GPR1, ZFP36L2, GPR19, RRP9, REPS2, GAL3ST4, HPSE, BCL7A, BMP2K, PTPRG, CD69, GSTT1, EPN2, LIME1, BRAF, CR2, APOL6, APOBEC3G, PPFIBP1, SAMSN1, RPL10L, MS4A6A, HRH1, PLA2G7, LEF1, IL4R, SMPDL3B, MYB, TCF7, ADAMTS3, RSAD2, PIK3IP1, FZD3, HLA-DOB, CCL20, SPAG4, PLEKHF1, BIRC3, TNFAIP6, HIST1H2BG, HLA-DQA1, CXCL3, DACH1, CCND2, EGR2, C1orf54, SLC12A8, IFI44L, ST3GAL6, RGS1, LAMP3, DUSP2, HSPA6, HIST1H2AE, CXCL10, STXBP6, CHI3L1"
"TCGA.13.0903.01A.01R.0404.01",28,"TRIB2, ACP5, PNOC, FZD3, C1orf54, GSTT1, PIK3IP1, MMP9, RPL10L, MYB, LAMP3, IL4R, TCF7, RSAD2, ZNF165, PPFIBP1, HIST1H2AE, RGS1, PLEKHF1, AQP9, HLA-DOB, HIST1H2BG, SLC12A8, APOBEC3G, CXCL10, IFI44L, VNN1, CHI3L1"
"TCGA.13.0904.01A.02R.0404.01",17,"SPOCK2, SKAP1, HRH1, PLEKHF1, RGS1, PTGER2, HIST1H2AE, PPFIBP1, RPL10L, CCL20, SLC12A8, GSTT1, TSHR, VNN1, IFI44L, STXBP6, CHI3L1"
"TCGA.13.0905.01B.01R.0453.01",58,"VILL, RPL10L, DUSP2, APOL6, TCF7, FAIM3, LIME1, CA8, TRPM4, HIST1H2AE, NCF2, CYP27A1, HRH1, GPR19, ZNF165, MAP9, COL8A2, SLC15A3, KIRREL, PIK3IP1, CD3D, RGS1, SELL, BIRC3, PLEKHF1, EGR2, PPFIBP1, BMP2K, IGKC, REPS2, GAL3ST4, TRIB2, ZFP36L2, SPOCK2, SLC12A8, PLA1A, HLA-DOB, C1orf54, BST1, VNN1, PNOC, FZD3, HPSE, AQP9, CXCL11, GSTT1, LTC4S, QPCT, APOBEC3G, SPAG4, HLA-DQA1, RSAD2, STXBP6, LAMP3, IFI44L, CCL20, CXCL10, CHI3L1"
"TCGA.13.0906.01A.01R.0404.01",36,"KIRREL, ACP5, RGS1, SMPDL3B, C1orf54, PLEKHF1, PBXIP1, ZNF165, ZFP36L2, CCL22, PPFIBP1, TRIB2, PLA1A, EBI3, GPR19, SLC12A8, DPP4, CCR7, CCL19, CXCL9, LAMP3, DACH1, CHI3L1, QPCT, APOBEC3G, SPOCK2, IGKC, RSAD2, FZD2, PNOC, LTB, FZD3, CXCL11, IFI44L, STXBP6, CXCL10"
"TCGA.13.0908.01B.01R.0453.01",38,"CD38, RNASE6, MAP9, APOL6, TCF7, CCR7, GAL3ST4, PTGER2, CCL18, EBI3, LAMP3, PPFIBP1, MS4A6A, C1orf54, RGS1, CCL19, NCF2, GSTT1, CLEC7A, CA8, FCGR2B, C3AR1, TRIB2, APOBEC3G, VNN1, GPC4, BST1, HLA-DQA1, QPCT, PNOC, SPOCK2, HPSE, RSAD2, SLC12A8, IFI44L, CXCL10, IGKC, CHI3L1"
"TCGA.13.0910.01A.01R.0404.01",20,"PPFIBP1, RYR1, SMPDL3B, PTPRG, VILL, MS4A6A, GSTT1, SPOCK2, APOBEC3G, STXBP6, LAMP3, HPSE, SLC12A8, IFI44L, FZD3, ATHL1, BIRC3, CHI3L1, RGS1, IGKC"
"TCGA.13.0911.01A.01R.0404.01",44,"IGKC, CD4, SMPDL3B, FZD3, EGR2, CD1A, REPS2, HK3, C3AR1, GPC4, TRIB2, ADAMDEC1, AQP9, PPBP, SLC15A3, PTPRG, PLEKHF1, PNOC, LTB, KYNU, CCR7, CCL5, SAMSN1, TNFAIP6, HSPA6, IGSF6, SPAG4, BCL2A1, APOBEC3G, IFI44L, MS4A6A, FCGR2B, ACP5, CYP27A1, PLA2G7, STXBP6, CXCL10, SLC12A8, HLA-DQA1, CCL22, NCF2, RGS1, CCL20, CHI3L1"
"TCGA.13.0912.01A.01R.0404.01",33,"C11orf80, PNOC, BCL7A, CD22, MICAL3, CYP27A1, KIAA0754, MYB, PPFIBP1, SLC12A8, FZD3, STXBP6, MAP9, FZD2, RGS1, RPL10L, TCF7, ST3GAL6, SLC2A6, CCL20, WNT7A, BIRC3, PLEKHF1, HRH1, KLRF1, SPOCK2, PTPRG, DACH1, LTB, ATHL1, CHI3L1, TRIB2, CCND2"
"TCGA.13.0913.01A.01R.0404.01",47,"CA8, HIST1H2BG, NCF2, ACP5, MICAL3, VILL, PPFIBP1, PLEKHF1, ZNF324, C1orf54, CYP27A1, RRP9, ZFP36L2, TCF7, REPS2, HHEX, MMP9, QPCT, ZNF135, DUSP2, RPL10L, MYB, SMPDL3B, PBXIP1, HLA-DOB, TRIB2, MANEA, IFI44L, SPOCK2, RSAD2, CXCL10, DACH1, CD40, SLC12A8, GPC4, PTPRG, MAP9, CR2, APOBEC3G, FZD3, SKAP1, HIST1H2AE, GSTT1, FZD2, PNOC, STXBP6, CHI3L1"
"TCGA.13.0916.01A.01R.0404.01",46,"ZNF165, HCK, BST1, MICAL3, TNFAIP6, GSTT1, BMP2K, MANEA, CCL18, SELL, TCF7, NCF2, MS4A6A, ADAMTS3, FZD3, EBI3, CCR7, RYR1, PLA1A, CXCL13, SKAP1, GPR19, SLC12A8, RGS1, QPCT, CCL19, FZD2, MAN1A1, SLC15A3, LEF1, APOBEC3G, GPC4, ACP5, C1orf54, RSAD2, HLA-DOB, DACH1, MYB, CXCL11, CCND2, IFI44L, CXCL9, LAMP3, CHI3L1, HLA-DQA1, CXCL10"
"TCGA.13.0919.01A.01R.0404.01",48,"FZD2, RNASE6, EBI3, REN, EGR2, IL4R, CCR7, GAL3ST4, SAMSN1, TREM2, PPFIBP1, CXCL13, SPOCK2, GPC4, C5AR1, ATHL1, CXCL11, GSTT1, CCL19, CCL18, CD69, C3AR1, TNFAIP6, APOBEC3G, QPCT, BANK1, C1orf54, RSAD2, HPSE, NCF2, FCGR2B, HLA-DQA1, HIST1H2BG, TRIB2, WNT7A, BST1, STXBP6, IFI44L, FOSB, HIST1H2AE, PTPRG, CCL20, HTR2B, SLC12A8, CXCL10, CHI3L1, RGS1, PNOC"
"TCGA.13.0920.01A.01R.0404.01",49,"KIRREL, ICA1, RRP9, RYR1, CDH12, FZD2, C1orf54, CXCL13, PDK1, CR2, ZNF165, RPL10L, EPN2, CYP27A1, WNT7A, TCF7, PBXIP1, TRIB2, TRAF4, ST3GAL6, IRF8, PTPRG, CXCL9, GPR19, APOBEC3G, MAGEA11, HIST1H2BG, MANEA, HIST1H2AE, PPFIBP1, GPC4, CRISP3, SKAP1, SMPDL3B, UGT2B17, MAP9, IGHM, GSTT1, CHI3L1, RSAD2, FZD3, DACH1, RGS1, IFI44L, STXBP6, PNOC, CXCL10, SLC12A1, IGKC"
"TCGA.13.0921.01A.01R.0404.01",15,"TCF7, LTC4S, MAP9, SPOCK2, FZD3, NCF2, MMP9, APOBEC3G, VNN1, HLA-DQA1, RGS1, LIME1, RPL10L, BIRC3, CHI3L1"
"TCGA.13.0923.01A.01R.0404.01",56,"CCR5, ST3GAL6, GPC4, LEF1, CCL5, PIK3IP1, TCF7, LTC4S, CD40, KLRF1, REPS2, CYP27A1, SLC15A3, CCL20, MS4A6A, MYB, DHX58, ZFP36L2, SLC12A1, IL1B, PBXIP1, CD38, ICA1, C1orf54, FZD2, CRISP3, PTPRG, PLEKHF1, HIST1H2AE, APOL6, PNOC, RGS1, DUSP2, SKAP1, CLEC7A, MAP9, FOSB, PPFIBP1, SLC12A8, CXCL13, ACP5, SMPDL3B, QPCT, CXCL11, EGR2, ZNF165, AQP9, STXBP6, SPAG4, FZD3, APOBEC3G, RSAD2, LAMP3, IFI44L, CXCL10, CHI3L1"
"TCGA.13.0924.01A.01R.0404.01",45,"IL4R, SLAMF8, FOSB, IL1B, PPFIBP1, GAL3ST4, CD2, SPAG4, CCR5, EBI3, REPS2, C1orf54, CCR7, PLEKHF1, NCF2, MANEA, MAP9, CLIC2, ZFP36L2, SAMSN1, TREM2, FZD3, RPL10L, SELL, IFI44L, C3AR1, QPCT, DUSP2, ZNF165, FCGR2B, RGS1, PTPRG, MS4A6A, EGR2, STXBP6, CXCL11, CXCL13, APOBEC3G, SLC12A8, PNOC, IGKC, CXCL10, CXCL9, CHI3L1, CRISP3"
"TCGA.13.1403.01A.01R.0453.01",41,"LTC4S, RSAD2, FZD3, ICA1, CD40, AQP9, ZFP36L2, CXCL10, CCR7, IL4R, EGR2, PTPRG, PIK3IP1, HRH1, VILL, SMPDL3B, APOL6, MAP4K1, REPS2, TRIB2, ACP5, CCL22, KIAA0754, TCF7, DUSP2, SLC12A8, SPAG4, CRISP3, SPOCK2, IFI44L, RGS1, WNT7A, FOSB, GSTT1, ST3GAL6, APOBEC3G, PNOC, CHI3L1, BIRC3, STXBP6, CCL20"
"TCGA.13.1404.01A.01R.0453.01",17,"SMPDL3B, C3AR1, CD38, NCF2, MYB, RPL10L, GPC4, IFI44L, TCF7, STXBP6, GSTT1, DACH1, SLC12A8, CXCL10, CHI3L1, IGKC, HLA-DQA1"
"TCGA.13.1405.01A.01R.0453.01",42,"FZD2, PTPRG, TRIB2, RPL10L, EBI3, RGS1, CCR7, MMP9, NCF2, SPAG4, TREM2, TCF7, GPC4, MAP9, HIST1H2AE, APOL6, COL8A2, WNT7A, CCL19, IFI44L, PLEKHF1, REPS2, RNASE6, C1orf54, BST1, PNOC, TRAF4, PTGER2, IL4R, ST3GAL6, MS4A6A, TRPM4, HRH1, FZD3, SLC12A8, APOBEC3G, QPCT, GSTT1, SPOCK2, IGKC, CXCL10, CHI3L1"
"TCGA.13.1407.01A.01R.0453.01",32,"CYP27A1, LEF1, GPR19, RPL10L, TRAF4, PDK1, RRP9, SMPDL3B, WNT7A, PTPRG, DUSP2, TRIB2, SLC12A1, CHI3L1, MAP9, SPOCK2, MAP4K1, SPAG4, TCF7, SLC12A8, HIST1H2AE, PLEKHF1, CA8, C1orf54, APOBEC3G, CXCL10, MAGEA11, FZD2, PNOC, GPC4, FZD3, DACH1"
"TCGA.13.1408.01A.01R.0453.01",35,"EGR2, GPR1, TRIB2, MICAL3, TCF7, KIRREL, DUSP2, GAL3ST4, NCF2, LAMP3, ATHL1, CD38, WNT7A, DACH1, APOBEC3G, CST7, PLEKHF1, MAP9, IGHD, C1orf54, SPOCK2, RSAD2, COL8A2, PPFIBP1, RGS1, IFI44L, TNFAIP6, PTPRG, FZD2, PNOC, CXCL9, SLC12A8, CXCL10, CHI3L1, IGKC"
"TCGA.13.1409.01A.01R.0453.01",19,"AIM2, HRH1, PPFIBP1, ZNF324, CD22, MAP4K1, LTC4S, ZFP36L2, RPL10L, HIST1H2AE, FZD3, TCF7, PBXIP1, SPOCK2, TRIB2, IFI44L, C1orf54, PNOC, CHI3L1"
"TCGA.13.1410.01A.01R.0453.01",63,"DHX58, SAMSN1, C5AR1, CD38, CCL20, ADAMDEC1, TRAF4, CCL22, LY86, CCR5, TREM2, SMPDL3B, PIK3IP1, MAP4K1, CCL18, GSTT1, TNFAIP6, TCF7, ICA1, MAP9, EBI3, RNASE6, GAL3ST4, CCR7, PPFIBP1, HRH1, C1orf54, HPSE, DUSP2, CCL19, APOBEC3A, RPL10L, APOL6, NCF2, SLC15A3, KIRREL, PTPRG, SKAP1, BIRC3, TRIB2, REPS2, MS4A6A, C3AR1, ST3GAL6, CXCL9, PLEKHF1, WNT7A, GPC4, FZD3, ACP5, HLA-DQA1, RGS1, SLC12A8, APOBEC3G, RSAD2, CXCL11, STXBP6, IFI44L, IGKC, CHI3L1, LAMP3, PNOC, CXCL10"
"TCGA.13.1411.01A.01R.0453.01",46,"AIF1, SMPDL3B, FCGR3B, LTB, EGR2, TRIB2, PPFIBP1, IGSF6, IL1B, MNDA, RNASE2, DACH1, SLC15A3, CXCL5, ACP5, C1orf54, CCL20, APOBEC3G, PTPRG, CHI3L1, CYP27A1, GAL3ST4, HIST1H2AE, STXBP6, NKG7, SAMSN1, PNOC, SLAMF8, TLR2, RGS1, CA8, GZMB, ST3GAL6, C3AR1, SLC12A8, CCL18, TNFAIP6, NCF2, IL7R, FCGR2B, CXCL9, MS4A6A, CXCL10, MMP12, ADAMDEC1, IGKC"
"TCGA.13.1412.01A.01R.0453.01",35,"CD40, BCL2A1, BCL7A, PPBP, CD4, AIF1, MAP4K1, FZD3, PBXIP1, C1orf54, IL4R, MAP9, ST3GAL6, COL8A2, NCF2, TCF7, PLEKHF1, PPFIBP1, FZD2, KIRREL, SPAG4, HRH1, LIME1, PNOC, SPOCK2, IGKC, STXBP6, RGS1, HLA-DQA1, LTB, MMP9, SLC12A8, WNT7A, TRIB2, CHI3L1"
"TCGA.13.1477.01A.01R.0477.01",29,"FOSB, BCL7A, SMPDL3B, RPL10L, TCF7, STXBP6, SLC15A3, PTPRG, TRAF4, HLA-DQA1, MICAL3, HIST1H2AE, SLC12A8, EGR2, HRH1, WNT7A, HIST1H2BG, APOBEC3G, PBXIP1, CYP27A1, FZD3, PPFIBP1, KIRREL, FZD2, MAP9, GSTT1, TRIB2, PNOC, SPOCK2"
"TCGA.13.1481.01A.01R.0477.01",34,"CA8, MAN1A1, TNFRSF17, PTPRG, APOBEC3G, IFI44L, KIRREL, CCR7, EBI3, FZD3, COL8A2, CD27, PNOC, PPFIBP1, TNFAIP6, CCL19, GSTT1, DACH1, WNT7A, FOSB, TRIB2, C1orf54, CD38, SLC12A8, HLA-DQA1, CXCL10, EGR2, IGHD, CXCL9, IGHM, FZD2, CHI3L1, RGS1, IGKC"
"TCGA.13.1482.01A.01R.0477.01",34,"ATHL1, PASK, GAL3ST4, MYB, GPC4, PBXIP1, ZFP36L2, TCF7, MMP9, MAK, SLC12A8, EGR2, FOSB, BRAF, HRH1, SELL, MAP9, PIK3IP1, ACP5, CCND2, FZD3, HPSE, DUSP2, STXBP6, LAMP3, RSAD2, CXCL10, RGS1, GSTT1, TRIB2, APOBEC3G, IFI44L, HTR2B, CHI3L1"
"TCGA.13.1483.01A.01R.0477.01",49,"CCL18, IL4R, PLA2G7, CCL13, RRP9, LAMP3, GAL3ST4, APOL6, LTB, CXCL3, C11orf80, SKAP1, C3AR1, TCF7, BIRC3, APOBEC3G, SLC12A8, FCGR2B, RPL10L, MAP9, PPFIBP1, CXCL11, WNT7A, NCF2, C1orf54, FZD3, EGR2, HPSE, CCR7, SMPDL3B, ZNF165, TNFAIP6, FOSB, CCL22, HIST1H2BG, PNOC, PTPRG, GPC4, RSAD2, CXCL13, RGS1, CCL20, HIST1H2AE, TRIB2, STXBP6, CXCL10, IFI44L, CHI3L1, HLA-DQA1"
"TCGA.13.1484.01A.01R.0477.01",28,"IGSF6, TRIB2, RGS1, MMP12, WNT7A, CD2, APOL6, SPAG4, CCL18, PNOC, LAMP3, TNFAIP6, IGHM, CCL19, EBI3, CD38, SPOCK2, CCR7, PLEKHF1, IGHD, APOBEC3G, GZMB, CXCL10, CXCL13, CHI3L1, HLA-DQA1, CXCL9, IGKC"
"TCGA.13.1485.01A.02R.0477.01",51,"MS4A6A, VILL, PIK3IP1, HIST1H2BG, ADAMDEC1, C11orf80, RPL10L, CYP27A1, EPN2, CCL20, C3AR1, LEF1, IL4R, PLEKHF1, LTC4S, CCND2, BCL7A, CD40, STXBP6, BIRC3, TCF7, PTPRG, FOSB, KIRREL, PBXIP1, GAL3ST4, BANK1, FZD2, NCF2, GPC4, APOBEC3G, DACH1, EGR2, MAP9, PTGER2, CD70, COL8A2, TNFAIP6, C1orf54, DGKA, SLC12A8, SPOCK2, FZD3, HRH1, PPFIBP1, TRIB2, PNOC, RGS1, MMP12, ATHL1, CHI3L1"
"TCGA.13.1487.01A.01R.0477.01",33,"PNOC, MICAL3, KIRREL, CYP27A1, ATHL1, BIRC3, COL8A2, PBXIP1, TRAF4, TCF7, ZNF165, TNFAIP6, LTB, MYB, RPL10L, C1orf54, SKAP1, RGS1, APOBEC3G, DACH1, STXBP6, HRH1, TRIB2, SMPDL3B, SPOCK2, PPFIBP1, SLC12A8, PTPRG, MAP9, FZD2, CLIC2, WNT7A, CHI3L1"
"TCGA.13.1488.01A.01R.0477.01",42,"FOSB, BRAF, TRIB2, RPL10L, AQP9, BCL2A1, PIK3IP1, CCL22, ACP5, PPFIBP1, CCL19, FZD2, EBI3, TCF7, MAP9, CCR7, SPOCK2, PNOC, SMPDL3B, NCF2, RSAD2, REPS2, HLA-DOB, MMP9, AIM2, APOL3, BIRC3, RGS1, CXCL13, STXBP6, FZD3, CCL20, APOL6, CXCL9, IFI44L, HLA-DQA1, CXCL11, LAMP3, APOBEC3G, IGKC, CHI3L1, CXCL10"
"TCGA.13.1489.01A.01R.0477.01",34,"REPS2, SPAG4, ZFP36L2, WNT7A, PASK, CDH12, RSAD2, FZD3, RPL10L, CD40, HIST1H2AE, MYB, HPSE, RRP9, PBXIP1, GPR19, PPFIBP1, SLC12A1, IFI44L, RGS1, MAP9, SLC12A8, LAMP3, ICA1, ZNF165, SMPDL3B, SKAP1, APOBEC3G, PTPRG, TRIB2, CCL20, PNOC, CHI3L1, STXBP6"
"TCGA.13.1491.01A.01R.0477.01",39,"MMP9, NCF2, BIRC3, GAL3ST4, SMPDL3B, FCGR2B, PIK3IP1, LTC4S, C1orf54, ZFP36L2, RGS1, TCF7, PBXIP1, MAP4K1, RPL10L, SPAG4, RRP9, MAP9, CA8, QPCT, CD4, RSAD2, MAGEA11, AQP9, FZD3, CCL20, IFI44L, CXCL10, TRIB2, SLC12A8, SPOCK2, APOBEC3G, LTB, PNOC, PLEKHF1, CHI3L2, ACP5, LAMP3, CHI3L1"
"TCGA.13.1492.01A.01R.0477.01",44,"CCL5, FOSB, APOL6, RRP9, DHX58, BRAF, C1orf54, DPP4, GPR19, BCL7A, QPCT, CD40, CA8, ADAM28, ATHL1, DUSP2, PTPRG, GSTT1, CYP27A1, DACH1, CDC25A, ZNF324, LEF1, PASK, PPFIBP1, CHI3L1, PLEKHF1, WNT5B, RGS1, TCF7, SLC15A3, HIST1H2AE, TRIB2, CD8B, RSAD2, FZD3, CXCL10, GPC4, APOBEC3G, MYB, STXBP6, LAMP3, IFI44L, CDH12"
"TCGA.13.1494.01A.01R.0477.01",33,"SMPDL3B, FZD2, HRH1, WNT7A, PBXIP1, C3AR1, CXCL13, CCL20, PTPRG, IGKC, CXCL9, NCF2, PTGER2, PPFIBP1, QPCT, FOSB, APOBEC3G, MAP9, C1orf54, STXBP6, SLC12A8, HLA-DQA1, FZD3, CXCL10, RGS1, IL4R, TRIB2, IL7R, PNOC, SPOCK2, GSTT1, TNFAIP6, CHI3L1"
"TCGA.13.1495.01A.01R.0477.01",41,"HAL, C1orf54, DUSP2, RGS1, RSAD2, IL4R, PLEKHF1, PDK1, PASK, CYP27A1, HRH1, CA8, ZFP36L2, SKAP1, PTPRG, HLA-DQA1, LAMP3, KIRREL, HPSE, SLC12A8, PPFIBP1, MYB, WNT7A, RPL10L, PIK3IP1, SMPDL3B, IFI44L, CXCL9, APOBEC3G, GSTT1, VNN1, CXCL10, QPCT, FZD3, PNOC, TRIB2, GPC4, CCL20, AIM2, STXBP6, CHI3L1"
"TCGA.13.1496.01A.01R.0477.01",56,"GPR19, BST1, IRF8, BIRC3, PPFIBP1, CD69, GZMA, PTPRG, CCR5, PIK3IP1, CCL4, HLA-DOB, ICA1, QPCT, ZNF165, GPC4, MYB, HPSE, C3AR1, STXBP6, FZD3, GNLY, ADAMDEC1, CCR7, EBI3, FCGR2B, ST3GAL6, KLRF1, COL8A2, APOL3, C1orf54, SLC15A3, SLC12A8, GSTT1, SMPDL3B, MS4A6A, ACP5, APOBEC3A, CCL19, GZMB, MAP9, AIM2, LTB, PLEKHF1, RGS1, BANK1, APOL6, MAGEA11, CHI3L1, APOBEC3G, RSAD2, IFI44L, IGKC, CXCL11, LAMP3, CXCL10"
